t,v_10,v_90
292.9,-87.80602,-23.16378667
292.9333333,-87.80354,-23.17864333
292.9666667,-87.80106,-23.1935
293,-87.79858,-23.20835667
293.0333333,-87.7961,-23.22321333
293.0666667,-87.79362,-23.23807
293.1,-87.79114,-23.25292667
293.1333333,-87.78866,-23.26778333
293.1666667,-87.78618,-23.28264
293.2,-87.7837,-23.29749667
293.2333333,-87.78122,-23.31235333
293.2666667,-87.77874,-23.32721
293.3,-87.77626,-23.34206667
293.3333333,-87.77378,-23.35692333
293.3666667,-87.7713,-23.37178
293.4,-87.76882,-23.38663667
293.4333333,-87.76634,-23.40149333
293.4666667,-87.76386,-23.41635
293.5,-87.76138,-23.43120667
293.5333333,-87.7589,-23.44606333
293.5666667,-87.75642,-23.46092
293.6,-87.75394,-23.47001333
293.6333333,-87.75146,-23.47910667
293.6666667,-87.74898,-23.4882
293.7,-87.7465,-23.49729333
293.7333333,-87.74402,-23.50638667
293.7666667,-87.74154,-23.51548
293.8,-87.73906,-23.52457333
293.8333333,-87.73658,-23.53366667
293.8666667,-87.7341,-23.54276
293.9,-87.7341,-23.55185333
293.9333333,-87.72831333,-23.56094667
293.9666667,-87.72252667,-23.57004
294,-87.71674,-23.57913333
294.0333333,-87.71095333,-23.58822667
294.0666667,-87.70516667,-23.59732
294.1,-87.69938,-23.60641333
294.1333333,-87.69359333,-23.61550667
294.1666667,-87.68780667,-23.6246
294.2,-87.68202,-23.63369333
294.2333333,-87.67623333,-23.64278667
294.2666667,-87.67044667,-23.65188
294.3,-87.66466,-23.66097333
294.3333333,-87.65887333,-23.67006667
294.3666667,-87.65308667,-23.67916
294.4,-87.64982,-23.68825333
294.4333333,-87.66137333,-23.69734667
294.4666667,-87.67292667,-23.70644
294.5,-87.68448,-23.71553333
294.5333333,-87.69603333,-23.72462667
294.5666667,-87.70758667,-23.74363
294.6,-87.71914,-23.74527333
294.6333333,-87.73069333,-23.74691667
294.6666667,-87.74224667,-23.74856
294.7,-87.7538,-23.75020333
294.7333333,-87.77348,-23.75184667
294.7666667,-87.76521333,-23.75349
294.8,-87.75694667,-23.75513333
294.8333333,-87.74868,-23.75677667
